APARTMENT_ID,APARTMENT_NAME,ZONE_CODE,DIV_CODE,AREA_NAME,LOC_NAME,STREET_NAM,BIN_NO,LATITUDE,LONGTITUDE,NUMBER_OF_HOUSES,RESIDENTS,BIN_CAPACITY_KG,WASTE_GENERATION_KG_DAY,DAYS_SINCE_COLLECTION,RAIN,TEMPERATURE_C,DAY_OF_WEEK,FILL_PERCENTAGE,FILL_LEVEL
APT_00001,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,MUGATHUVARAKUPPAM,MUGATHUVARAKUPPAM 1 ST,S_W001_001,13.227447,80.326402,45,228,120,119.58,2,Yes,27.5,6,100.0,Full
APT_00002,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IX ST,S_W001_001,13.224189,80.320426,237,1194,1000,592.42,2,Yes,28.3,2,100.0,Full
APT_00003,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR VIII ST,S_W001_001,13.223617,80.320132,203,812,120,371.29,3,No,24.5,0,100.0,Full
APT_00004,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM MAIN BAZAR ROAD,S_W001_001,13.226809,80.324957,143,420,660,265.74,4,No,27.4,1,100.0,Full
APT_00005,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THALANKUPPAM MAIN BAZAR ROAD,S_W001_002,13.227246,80.325979,141,413,1000,195.33,4,No,27.9,3,90.3,Full
APT_00006,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,THAZHANKUPPAM,THAZHANKUPPAM COLONY 1ST STREET,S_W001_001,13.227678,80.327565,261,1303,500,501.47,4,No,24.2,4,100.0,Full
APT_00007,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR IV ST,S_W001_001,13.222337,80.320111,44,215,660,129.62,2,No,33.9,3,50.2,Medium
APT_00008,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR VII ST,S_W001_001,13.221166,80.323788,215,862,1000,443.08,2,No,34.6,3,79.4,Full
APT_00009,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,SVM NAGAR,SVM NAGAR XIII ST,S_W001_001,13.223494,80.327246,76,372,660,176.06,0,Yes,26.1,4,39.8,Empty
APT_00010,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,ULLAGANATHAPURAM,ULAGANATHAPURAM IV ST,S_W001_001,13.227179,80.325819,46,132,660,69.02,2,No,31.3,1,54.2,Medium
APT_00011,Apartment_Kathivakkam_N001,N01,N001,KATHIVAKKAM,KAMARAJ NAGAR,KAMARAJ NAGAR I ST,S_W001_001,13.223405,80.320062,167,502,360,195.55,3,Yes,29.3,5,100.0,Full
